Titlu;Localitate;Suprafata teren;Suprafata utila;Stare;Numar camere;Numar bai;Mobilat;Tip tranzactie;Pret
Parcul Teilor$ S+P+1+M$ curte 115mp$ boxa$ loc de parcare...;Bucuresti-Ilfov / Bucuresti;155 m²;120 m²;Bună;4;3;;Vânzare;300.000 €
Centru Evenimente$ Afacere la cheie$ Restaurant cu MiniPe...;Mures / Sighisoara;18900 m²;750 m²;Nouă;5+;3+;;Vânzare;738.400 €
Comision zero!Duplex Mediteranean în Dumbrăvița$5 camere;Timis / Dumbravita;343 m²;121 m²;Bună;5;2;Parțial;Vânzare;250.000 €
Vilă cu 4 camere de vânzare in Liziera de Lac;Calarasi / Frumusani;245 m²;111 m²;Nouă;4;2;Complet;Vânzare;212.000 €
Casa 1 camera 33mp curte 50mp zona Metrou Tineretului COM...;Bucuresti-Ilfov / Bucuresti;50 m²;33 m²;Bună;1;1;;Vânzare;67.000 €
Comision 0% Gruia – două apartamente in casa$ 70 mp$ tere;Cluj / Cluj-Napoca;110 m²;70 m²;Bună;3;2;;Vânzare;205.000 €
Casa de vanzare cu 8 camere+3 camere beci$ 360mp$ zona RAR (;Satu-Mare / Satu Mare;1500 m²;360 m²;Nouă;5+;3;Nemobilat;Vânzare;250.000 €
Casa parter 120 mp -Vetis;Satu-Mare / Vetis;300 m²;120 m²;Bună;4;1;Nemobilat;Vânzare;120.000 €
De Vanzare | Vila Lux | Teren 1000 mp | 226mp utili | 3 B...;Timis / Sanmihaiu Roman;1000 m²;226 m²;Nouă;4;3;;Vânzare;325.000 €
Casa/Vila cu 6 camere ideala rezidential/comerical Ciarda...;Timis / Timisoara;914 m²;383 m²;Nouă;5+;3+;Nemobilat;Vânzare;395.000 €
Casa in inimia Brasovului individuala la pret de apartament;Brasov / Brasov;305 m²;100 m²;Bună;3;2;Nemobilat;Vânzare;194.900 €
Casă cu grădină amenajată | Oază privată de relaxar...;Brasov / Brasov;300 m²;35 m²;Bună;2;0;Complet;Vânzare;56.900 €
Case de vanzare - Corbeanca Complex Cherry Park 2 Faza a Dou;Bucuresti-Ilfov / Corbeanca;480 m²;148 m²;În construcție;5;3;;Vânzare;270.000 €
Casa individuala 72mp | curte 275mp | 2 dormitoare | Persoa;Dambovita / Crevedia;275 m²;72 m²;Bună;3;1;Nemobilat;Vânzare;97.900 €
O casă cu suflet$ pregătită pentru o nouă poveste;Constanta / Constanta;368 m²;217 m²;Bună;5+;2;Complet;Vânzare;399.900 €
Duplex 3 camere cu terasa $teren $ insorita $in Brasov la;Brasov / Harman;150 m²;75 m²;Bună;3;2;Complet;Vânzare;156.000 €
Oportunitate - Monument Istoric lângă Cetatea Râșnov s;Brasov / Rasnov;1090 m²;320 m²;De renovat;5;1;Nemobilat;Vânzare;395.000 €
Casa in Harman$ cu panouri fotovoltaice$ 340 mp utili $ 100;Brasov / Harman;1000 m²;340 m²;Bună;5;3;Parțial;Vânzare;325.000 €
Casa P+1 Comuna Berceni teren 460 mp;Bucuresti-Ilfov / Berceni;460 m²;155 m²;Bună;5;3;;Vânzare;169.000 €
Casa individuala 4 camere 150 mpu curte libera 300 mp Turnis;Sibiu / Sibiu;460 m²;150 m²;Bună;4;2;Complet;Vânzare;238.900 €
Casa 5 camere de tip Duplex 143 mpu semifinisata intabulata;Sibiu / Sibiu;265 m²;143 m²;Bună;5;3;Nemobilat;Vânzare;259.900 €
Casa Individuala luna de sus;Cluj / Floresti;380 m²;128 m²;Nouă;5;3;;Vânzare;169.000 €
Casa 3 camere + teren 912mp zona Caraiman;Mures / Sighisoara;912 m²;125 m²;De renovat;3;2;;Vânzare;73.000 €
Casa ultrafinisata$ zona centrala$ 65 mp utili$ 2 locuri de;Cluj / Cluj-Napoca;60 m²;65 m²;Bună;3;1;Complet;Vânzare;230.000 €
Casa perfectă în București;Bucuresti-Ilfov / Bucuresti;274 m²;150 m²;Bună;5;3;;Vânzare;390.000 €
Casă de vanzare$ pozitie excelenta$ la intrare in Loc. G...;Arad / Galsa;1349 m²;101 m²;De renovat;4;0;Complet;Vânzare;53.900 €
Casa cu 6 camere 720 mp teren in sat Bungard din judetul Sib;Sibiu / Bungard;720 m²;150 m²;Bună;5+;2;Complet;Vânzare;139.990 €
Casă de vanzare$ situată în zona Coiciu$ Constanta;Constanta / Constanta;436 m²;94 m²;Bună;4;1;;Vânzare;214.900 €
