Titlu;Localitate;Suprafata teren;Suprafata utila;Stare;Numar camere;Numar bai;Mobilat;Tip tranzactie;Pret
Casa 2025 Lilieci Rozelor (Apa$ Canalizare$ Gaz) terasa + be;Bacau / Bacau;400 m²;100 m²;Bună;3;1;;Vânzare;125.000 €
Comision 0%! Vilă modernă$ în mijlocul naturii;Brasov / Harman;500 m²;114 m²;Bună;5;2;Complet;Vânzare;249.999 €
Casă Centrală de Vânzare - Str. Egalității nr. 44;Arges / Pitesti;422 m²;130 m²;Bună;4;1;;Vânzare;235.000 €
Casă / Vilă cu 4 camere de vânzare în zona Est;Bucuresti-Ilfov / Pantelimon;251 m²;90 m²;Bună;4;3;Parțial;Vânzare;180.000 €
Casa 125 mp utili$ teren 336 mp$ zona Albesti;Dolj / Craiova;336 m²;124 m²;Bună;5;2;Complet;Vânzare;171.000 €
Vila Cartier Balcescu Tecuci/ Panouri fotovoltaice 5 kw;Galati / Tecuci;346 m²;320 m²;Bună;5;3+;;Vânzare;139.000 €
Vila Manastirea Snagov;Bucuresti-Ilfov / Snagov;1150 m²;350 m²;Bună;5+;3;;Vânzare;217.000 €
CASĂ CU VEDERE CĂTRE CASTELUL CORVINILOR – EXCLUSIVITATE;Hunedoara / Hunedoara;500 m²;187 m²;Bună;4;2;;Vânzare;119.000 €
Vila Ialomita -Livedea lac;Ialomita / Livedea;794 m²;190 m²;Nouă;5;2;Parțial;Vânzare;88.000 €
Vila cocheta P 1E POD$ teren 507mp$ zona Ultracentrala!;Olt / Slatina;507 m²;240 m²;Bună;5;2;Complet;Vânzare;374.990 €
Casa single Otopeni 248.45mp$ lot 464mp$ influente neoromane;Bucuresti-Ilfov / Otopeni;464 m²;175 m²;În construcție;5;3;;Vânzare;429.000 €
Casă individuală$ 200 mp$ 9 Ari teren$ zona Ipotești;Suceava / Suceava;900 m²;200 m²;Bună;5;3;Nemobilat;Vânzare;236.000 €
;;0;0;;;0;;;0
Bucșani 80mp$ teren 2540mp casă de renovat;Dambovita / Targoviste;2540 m²;80 m²;De renovat;3;1;Nemobilat;Vânzare;36.000 €
Casă de vânzare în Pucioasa – cartier Miculești;Dambovita / Pucioasa;600 m²;180 m²;Bună;5;2;Parțial;Vânzare;120.000 €
Casa Coiciu 5 camere la sol cu teren 408 mp si garaj;Constanta / Constanta;408 m²;113 m²;Bună;5;2;;Vânzare;205.000 €
CASA DEOSEBITA 4 CAMERE$ CRISTIAN;Brasov / Cristian;500 m²;120 m²;Bună;4;2;Complet;Vânzare;249.000 €
Casa cu 220 mp teren $ Ultracentral;Iasi / Iasi;220 m²;40 m²;Bună;2;1;Complet;Vânzare;149.900 €
Casa tip duplex de vanzare in Magurele Ilfov;Bucuresti-Ilfov / Magurele;206 m²;105 m²;Bună;4;2;Parțial;Vânzare;140.000 €
Modern Meadow House$ Casa de $ Santandrei$ Oradea;Bihor / Santandrei;420 m²;125 m²;Bună;4;2;Complet;Vânzare;169.000 €
Casa si centru comercial Bod Colonie;Brasov / Bod;320 m²;310 m²;Bună;5+;2;;Vânzare;215.000 €
Casă 3 camere$ 76 mp$ zona Suseni;Dambovita / Targoviste;175 m²;76 m²;Bună;3;1;Nemobilat;Vânzare;47.000 €
Casa potential: locuire multifamiliala$activitati comerciale;Mures / Targu Mures;677 m²;270 m²;Bună;7;3;Parțial;Vânzare;290.000 €
Casă de vânzare$ pe Str. Profesor Doctor Bgdasar nr. 1$...;Bacau / Moinesti;2270 m²;80 m²;Bună;3;1;;Vânzare;65.000 €
Ansamblu de case cu panorama$ in Baciu;Cluj / Baciu;500 m²;170 m²;Nouă;4;3;Nemobilat;Vânzare;190.000 €
Casa$ Centru Istoric$ Constructie noua$ Totul Nou$ mobilat s;Braila / Braila;78 m²;98 m²;Bună;4;2;;Vânzare;129.000 €
CASA P M | ZONA PARCUL I.C.BRATIANU | ORADEA;Bihor / Oradea;143 m²;146 m²;Bună;3;2;;Vânzare;249.000 €
Casă / Vilă Caisului 90% gata;Vrancea / Focsani;615 m²;190 m²;Rezonabilă;5+;3;;Vânzare;149.500 €
Vila în care confortul devine poveste;Bucuresti-Ilfov / Mogosoaia;300 m²;174 m²;Bună;5;4;Nemobilat;Vânzare;275.000 €
OPORTUNITATE | CASA regim duplex 4 camere finalizata 2025;Bucuresti-Ilfov / Otopeni;301 m²;121 m²;Bună;4;3;Nemobilat;Vânzare;255.900 €
Case cu suflet – 455 mp utili + teren 1.000 mp Bălăce...;Bucuresti-Ilfov / Balaceanca;1000 m²;455 m²;Rezonabilă;5;3+;;Vânzare;395.000 €
Snagov - Vila 5 camere cu terase mari si iesire directa l...;Bucuresti-Ilfov / Snagov;550 m²;239 m²;Bună;5;3;Parțial;Vânzare;350.000 €
Vanzare casa Trend Ressidence;Bucuresti-Ilfov / Popesti Leordeni;115 m²;160 m²;Bună;5+;3;Complet;Vânzare;228.500 €
Casa 125 mp teren 500 mp zona profi design deosebit;Cluj / Chinteni;500 m²;125 m²;Nouă;5;3;Nemobilat;Vânzare;185.000 €
Vila individuală superbă ultracentrală Chiajna cu finisaj;Bucuresti-Ilfov / Chiajna;258 m²;100 m²;Bună;4;2;;Vânzare;225.000 €
Casă în Gura Humorului$ Voroneț$ jud. SV;Suceava / Suceava;750 m²;113 m²;Bună;4;2;Complet;Vânzare;149.900 €
Vila singulara 5-6 cam-comision 0%- 600m Auchan Titan - 250m;Bucuresti-Ilfov / Bucuresti;302 m²;220 m²;Bună;5;4;Nemobilat;Vânzare;550.000 €
O casă cu poveste și structură solidă$ în centrul Lugo;Timis / Lugoj;241 m²;170 m²;Bună;5;2;Parțial;Vânzare;239.000 €
Vilă de vânzare in Sinaia - Zona Cumpătu;Prahova / Sinaia;340 m²;214 m²;Bună;5+;2;;Vânzare;249.000 €
Case cuplate cu pompa de caldura$ panouri$ 140mp$ terasa cir;Cluj / Floresti;260 m²;137 m²;Bună;4;3;Nemobilat;Vânzare;244.000 €
FILM3D! Casa multifunctionala$ recomandata si pentru cabinet;Mures / Targu Mures;50 m²;126 m²;Bună;5;3;Complet;Vânzare;395.000 €
CASA IN COMUNA LAZARENI/ TEREN 6.754 MP/ CASA 143 MP/ CURENT;Bihor / Lazareni;6754 m²;177 m²;Bună;4;2;;Vânzare;119.900 €
Casa pe parter cu 1010 mp teren$ magazie$ beci$ strada Buceg;Bacau / Bacau;1010 m²;89 m²;Bună;3;1;;Vânzare;115.000 €
Vilă cu piscină de vanzare – Bistrița;Neamt / Bistrita;1600 m²;430 m²;Bună;5;3;Nemobilat;Vânzare;680.000 €
VILA LUX | ZONA BEVERLY HILLS | SANMARTIN | BIHOR;Bihor / Sanmartin;1178 m²;340 m²;Bună;6;3;;Vânzare;495.000 €
CASA 4 CAMERE $ SUPRAFATA TOTALA 80 MP $ TEREREN 355 MP$ DES;Tulcea / Tulcea;355 m²;80 m²;Bună;4;1;Complet;Vânzare;93.000 €
Casa Centrala de vanzare - Strada Rahovei Pitesti;Arges / Pitesti;271 m²;110 m²;Bună;4;2;Complet;Vânzare;416.000 €
Casa Pitesti Exercitiu zona centrala;Arges / Pitesti;174 m²;155 m²;Bună;5;2;Parțial;Vânzare;260.000 €
Casa individuala pentru afacere sau locuinta in Pitesti-zona;Arges / Pitesti;222 m²;150 m²;Bună;4;2;Parțial;Vânzare;205.000 €
Casă Modernă în Complex Privat – Confort$ Liniște!;Dolj / Craiova;280 m²;119 m²;Bună;4;2;Nemobilat;Vânzare;235.000 €
Casa 20km de Craiova;Dolj / Varvoru De Jos;375 m²;137 m²;Bună;5;1;Parțial;Vânzare;55.000 €
Casa Imparatul Traian;Dolj / Craiova;289 m²;450 m²;Bună;5;2;Complet;Vânzare;390.000 €
Casă spațioasă în Drăgotești – oază de verdeață;Dolj / Dragotesti;4727 m²;170 m²;Bună;5;2;Complet;Vânzare;104.500 €
OPORTUNITATE! Casa 2 camere$ teren 620mp$ vedere panoramica$;Brasov / Brasov;620 m²;64 m²;De renovat;2;1;Nemobilat;Vânzare;178.000 €
ULTRACENTRAL - Vila de - teren 506mp;Bacau / Bacau;506 m²;320 m²;Bună;9;4;;Vânzare;349.000 €
Casă duplex elegantă cu curte amenajată$ în Berceni;Bucuresti-Ilfov / Berceni;160 m²;105 m²;Bună;4;2;Parțial;Vânzare;145.000 €
Casă elegantă 4 camere – Comuna Berceni;Bucuresti-Ilfov / Berceni;408 m²;141 m²;Bună;4;1;Nemobilat;Vânzare;136.000 €
Cladire pe cadre pretabil clinica/comercial in Bucium langa;Iasi / Iasi;480 m²;420 m²;Bună;5+;8;Parțial;Vânzare;650.000 €
Vila moderna$ structura din beton – Piata Muncii | Pret...;Bucuresti-Ilfov / Bucuresti;200 m²;263 m²;Bună;9;3;Nemobilat;Vânzare;765.000 €
Vila deosebita cu 6 camere$ 530mp$ Statiunea Sovata;Mures / Sovata;650 m²;530 m²;Bună;5+;7;;Vânzare;1.199.000 €
Vila S+P+2+M$ 15 camere$ ideala pentru investitie - Ștef...;Bucuresti-Ilfov / Bucuresti;263 m²;408 m²;De renovat;5+;3+;;Vânzare;650.000 €
CASA IN POPESTI LEORDENI$ RENOVATA$ CURTE$ MOBILAT-UTILATA;Bucuresti-Ilfov / Popesti Leordeni;334 m²;90 m²;Bună;2;1;;Vânzare;109.990 €
Cladire 1076 mp$ teren 1108mp$ investitie$ zona Burdujeni;Suceava / Suceava;1108 m²;1076 m²;Bună;5+;5;Parțial;Vânzare;600.000 €
Vila Lux Mediteraneana | 1100mp teren | Langa Cosmopolis;Bucuresti-Ilfov / Tunari;1108 m²;128 m²;Bună;4;2;;Vânzare;299.900 €
Casa cu 4 camere zona Rogerius;Bihor / Oradea;250 m²;280 m²;Bună;4;2;Parțial;Vânzare;275.000 €
Vilă spațioasă și bine construită lângă București;Bucuresti-Ilfov / Clinceni;1067 m²;195 m²;Renovată;5+;3+;;Vânzare;270.000 €
Casă 4 camere$ 363 mp teren$ Filiasi$;Dolj / Filiasi;363 m²;100 m²;Bună;4;1;Parțial;Vânzare;235.000 €
Casa Parter! 3 dorm.+2 bai+2 parcari ! Aproape de centura...;Bucuresti-Ilfov / Domnesti;320 m²;106 m²;Nouă;5;2;;Vânzare;145.000 €
Casă / Vilă cu 5 camere de vânzare în zona Schei$ Cot...;Brasov / Brasov;355 m²;150 m²;Bună;5;2;;Vânzare;319.900 €
Water Lily House - casa de $ Rontau$ Bihor;Bihor / Rontau;300 m²;110 m²;Bună;4;2;;Vânzare;119.900 €
De vânzare Casă nouă cu 4 camere$ teren 1190 mp Cartie...;Bihor / Oradea;1190 m²;210 m²;Bună;4;3;Nemobilat;Vânzare;229.000 €
Casă individuală$ P+1+M$ teren 6000 mp - zona Spătăreș;Suceava / Falticeni;6000 m²;500 m²;Bună;5;3;Parțial;Vânzare;235.000 €
Casa nordica luminoasa$gata de mutat$ garaj cald$spatiu de p;Mures / Targu Mures;381 m²;120 m²;Bună;4;2;Complet;Vânzare;177.000 €
Casa 150 mp utili $ 1200 mp teren pe Strada Balta Blonda;Satu-Mare / Satu Mare;1200 m²;150 m²;Bună;5;2;Complet;Vânzare;245.000 €
Vila Duplex cu 10 camere$ cartier Serbanesti$ Bacau;Bacau / Bacau;455 m²;448 m²;Bună;10;7;;Vânzare;232.000 €
Casă săsească Transilvania - teren generos și potenț...;Sibiu / Somartin;1345 m²;54 m²;De renovat;4;0;;Vânzare;55.000 €
Casă săsească cu două spații de oaspeți - Transilvania;Sibiu / Somartin;1631 m²;138 m²;Rezonabilă;4;3;Complet;Vânzare;175.000 €
Casa 6 camere$ 3 bai$ 180 mp$ 819 mp teren;Iasi / Iasi;819 m²;180 m²;Bună;5+;3;Complet;Vânzare;170.000 €
Vila 6 camere$ Pucioasa;Dambovita / Pucioasa;912 m²;500 m²;Bună;5+;3;Parțial;Vânzare;185.000 €
Rate lunare Casă cu anexa 130 mp in Branesti 1200 mp de ter;Dambovita / Targoviste;1200 m²;60 m²;Bună;2;1;Complet;Vânzare;44.500 €
Vilă Modernă de Lux;Dambovita / Targoviste;470 m²;180 m²;Bună;4;3;Complet;Vânzare;199.000 €
Green Lake | Lacul Baneasa | Sisesti | Vila cu 4 apartamente;Bucuresti-Ilfov / Bucuresti;500 m²;440 m²;Nouă;5+;3+;;Vânzare;1.310.000 €
Vila din Caramida$ 2 Corpuri$ 145 mp$ Zona Casa de Cultura;Constanta / Constanta;144 m²;145 m²;Bună;6;3;;Vânzare;235.000 €
CASA INDIVIDUALA | TEREN 248 MP | STRADA CONSTANTIN TANASE;Bihor / Oradea;248 m²;111 m²;Bună;3;2;;Vânzare;204.500 €
Casa tip duplex Agigea zona Primarie toate utilitatile;Constanta / Agigea;260 m²;128 m²;De renovat;4;3;;Vânzare;132.000 €
Vila superba smart din caramida stil townhouse Voluntari Mat;Bucuresti-Ilfov / Voluntari;240 m²;202 m²;Bună;5;4;;Vânzare;395.000 €
Casă spațioasă de vânzare în Bod – teren generos$ zon;Brasov / Bod;623 m²;148 m²;Bună;4;2;Complet;Vânzare;199.000 €
Oportunitate! Casa 4 camere$ 117 mp$ in inima Cetății Sig;Mures / Sighisoara;170 m²;116 m²;Bună;4;2;Parțial;Vânzare;175.000 €
Vilă spațioasă cu 5 dormitoare și curte de 730 mp;Covasna / Sfantu Gheorghe;730 m²;260 m²;Bună;5+;4;Complet;Vânzare;490.000 €
Casa de vanzare$ cu 5 camere$ 140 mp$ zona Tomesti;Iasi / Iasi;450 m²;140 m²;Bună;5;2;;Vânzare;185.000 €
VIGAFON - Casa 3 camere Paltinis-Ienachita Vacarescu;Prahova / Ploiesti;484 m²;125 m²;Bună;3;2;Complet;Vânzare;259.000 €
Popesti Vila individuala cu 3 camere 2 parcari si pod;Bucuresti-Ilfov / Popesti Leordeni;180 m²;55 m²;În construcție;3;1;;Vânzare;100.000 €
Casa cuplata in vila$ de vanzare in Ghimbav$ Brasov;Brasov / Ghimbav;153 m²;88 m²;Bună;4;2;Complet;Vânzare;165.000 €
VILA INDIVIDUALA | 4 CAMERE | 2 PARCARI | FINISATA | COMI...;Bucuresti-Ilfov / Otopeni;350 m²;131 m²;Rezonabilă;4;3;Nemobilat;Vânzare;228.000 €
Casă din cărămidă cu 4 camere – Sat Grigoreni$ apro...;Bacau / Grigoreni;1700 m²;70 m²;Bună;4;1;;Vânzare;70.000 €
Vila / Casa de vis$ 246 mp utili$ garaj$ Stupini;Brasov / Brasov;684 m²;246 m²;Bună;4;4;Complet;Vânzare;300.000 €
Casa cu doua corpuri$ Zarnesti$ pretabil pensiune sau casa d;Brasov / Zarnesti;800 m²;300 m²;De renovat;5+;5;Parțial;Vânzare;157.000 €
Casa cu vedere spre Lempes$ 178 mp$ teren 1000 mp$ Bod;Brasov / Bod;1000 m²;178 m²;Bună;5+;2;Complet;Vânzare;192.000 €
Vila P+1+M ~200mp zona Metrou Brancoveanu și Parc Tinere...;Bucuresti-Ilfov / Bucuresti;300 m²;200 m²;Bună;5+;3;;Vânzare;449.999 €
Vila premium OPORTUNITATE EXCELENTA zona foarte linistita...;Bucuresti-Ilfov / Popesti Leordeni;500 m²;250 m²;Bună;5;3;;Vânzare;489.999 €
"Vila 5 camere LUX ""0 km"" cu curte - Corbeanca - Paradisul...";Bucuresti-Ilfov / Corbeanca;650 m²;180 m²;Nouă;5;3;Nemobilat;Vânzare;309.999 €
"Vila 5 camere LUX ""0 km"" cu curte - Corbeanca - Paradisul...";Bucuresti-Ilfov / Corbeanca;450 m²;180 m²;Nouă;5;3;Nemobilat;Vânzare;299.999 €
Vila modernă P+1 cu curte spațioasă Glina - centru și...;Bucuresti-Ilfov / Glina;470 m²;240 m²;Nouă;4;2;;Vânzare;220.000 €
Oportunitate rara$ super pret! Casa P 1 M - Targoviste$ Cen;Dambovita / Targoviste;80 m²;145 m²;Bună;6;3;;Vânzare;170.000 €
Casa spațioasă P+M$ 195 mp$ 3 dormitoare și 3 băi –...;Bucuresti-Ilfov / Buftea;420 m²;195 m²;Nouă;4;3;Nemobilat;Vânzare;235.000 €
Casa 4 camere$ 500 mp teren$ mobilata si utilata$ Vorovesti;Iasi / Vorovesti;500 m²;97 m²;Bună;4;2;Complet;Vânzare;187.500 €
Casa individuala$ 5 camere$ teren 277mp$ zona Modern;Timis / Timisoara;277 m²;152 m²;Bună;5;2;;Vânzare;305.000 €
Vila 5 camere$ zona exclusivistă Str Toamnei$ 136 mp constr;Bucuresti-Ilfov / Chiajna;40 m²;130 m²;Bună;5;3;Nemobilat;Vânzare;187.000 €
SUPER OCAZIE! Casa tip insiruit | P 1 | Sanmartin;Bihor / Sanmartin;241 m²;124 m²;Bună;4;2;Complet;Vânzare;163.000 €
Casa cu 5 studiouri independente$ terasa rooftop$ vedere ...;Brasov / Brasov;142 m²;216 m²;Bună;5+;3+;Complet;Vânzare;739.000 €
Casa $zona Ford$ suprafata utila 360 mp$teren 518 mp POSIBIL;Dolj / Carcea;518 m²;360 m²;Bună;5+;3;Complet;Vânzare;365.000 €
Casa moderna$ 4 camere Rediu$ mobilata si utilata;Iasi / Valea Lupului;366 m²;122 m²;Bună;4;2;Complet;Vânzare;245.000 €
FILM 3D! Casa adaptabila$ 250 mp teren$ loc parcare$ Centra;Brasov / Brasov;250 m²;243 m²;Bună;6;2;;Vânzare;340.000 €
Casă D+P+E+M | 827 mp utili$ 5 locuri parcare$ Regina Maria;Bucuresti-Ilfov / Bucuresti;500 m²;825 m²;Bună;5+;0;;Vânzare;1.150.000 €
Copou$ Sararie $ Vila P E su.= 240mp C2 = 31mp C3 = 19mp;Iasi / Iasi;481 m²;240 m²;Bună;8;3;;Vânzare;375.000 €
Casa $ pozitie centrala$ Gura Humorului$ Suceava;Suceava / Gura Humorului;520 m²;330 m²;Bună;8;3;Complet;Vânzare;155.000 €
Casa Plan Parter 4 camere$ 100 mp$ 500 mp teren Vorovesti;Iasi / Vorovesti;500 m²;100 m²;În construcție;4;2;Nemobilat;Vânzare;160.000 €
Casă de vânzare in Bragadiru;Bucuresti-Ilfov / Bragadiru;467 m²;111 m²;Bună;4;3;Complet;Vânzare;182.000 €
Casa deosebita in Valea Voievozilor;Dambovita / Valea Voievozilor;587 m²;214 m²;Bună;5+;2;Complet;Vânzare;247.000 €
Casa noua 4 camere$ 92 mp utili$ Vorovesti;Iasi / Vorovesti;400 m²;92 m²;În construcție;4;2;Nemobilat;Vânzare;155.000 €
Casa in stil mediteranean cu Fotovoltaice si statie incarcar;Mures / Sancraiu De Mures;448 m²;105 m²;Bună;4;2;Complet;Vânzare;223.000 €
Casă individuala Sanpetru Brasov;Brasov / Sanpetru;500 m²;100 m²;Nouă;4;2;Nemobilat;Vânzare;205.000 €
Casă tip duplex cu 4 camere în zona Gilau$ teren 250 mp.;Cluj / Gilau;250 m²;100 m²;Bună;4;2;Complet;Vânzare;170.000 €
Casa cu functie mixta$ Locativ si Comercial $ zona cart. Gh;Cluj / Cluj-Napoca;310 m²;245 m²;Bună;5;3;Complet;Vânzare;670.000 €
Vila$ 10 camere$ 580 mp$ zona Cartier Albert;Prahova / Ploiesti;3800 m²;580 m²;Bună;5+;5;Complet;Vânzare;1.200.000 €
Casă individuală$ 140mp$ 250mp teren$ zona Ipotești;Suceava / Suceava;250 m²;120 m²;Bună;4;2;Complet;Vânzare;195.000 €
Oferta Casă la roșu 240mp utili$ teren 1700mp Târgoviște;Dambovita / Targoviste;1700 m²;120 m²;În construcție;5+;3;Nemobilat;Vânzare;120.000 €
Casa individuală la cheie suprafată 178 mp$ 500 mp teren$;Dambovita / Targoviste;700 m²;178 m²;Bună;4;3;Nemobilat;Vânzare;165.000 €
Casa cu 4 camere zona Rogerius;Bihor / Oradea;250 m²;280 m²;Bună;4;2;Parțial;Vânzare;275.000 €
Casă 4 camere$ 160mp$ 500mp teren$ Valea Voievozilor;Dambovita / Targoviste;500 m²;80 m²;Bună;4;2;Nemobilat;Vânzare;130.500 €
Duplex semifinisat de vanzare $ 120 mp $ 385 teren$ garaj! G;Cluj / Gilau;380 m²;120 m²;Nouă;4;2;Nemobilat;Vânzare;149.900 €
Cabana de 210mp$ 2600 mp teren$ in Rachitele;Cluj / Rachitele;2600 m²;210 m²;Bună;5+;7;Complet;Vânzare;135.000 €
Duplex mobilat si utilat$ 136 mp$ 343 mp$ panouri fotovoltai;Cluj / Floresti;343 m²;136 m²;Bună;5;2;Complet;Vânzare;300.000 €
Casa deosebita$ garaj$ incalzire in pardoseala$ acces restri;Cluj / Floresti;531 m²;163 m²;Bună;4;4;Complet;Vânzare;430.000 €
Casa cuplata$ 400 mp utili si 650 mp de teren$ sat Tauti;Cluj / Floresti;650 m²;400 m²;Bună;5+;7;Nemobilat;Vânzare;450.000 €
Casa 5 camere$ 258 mp$ zona Ampoi III;Alba / Alba Iulia;500 m²;258 m²;Bună;5;2;;Vânzare;360.000 €
Duplex 3 cam 152 mp$ curte 200 mp$ Oasului;Cluj / Cluj-Napoca;200 m²;152 m²;Nouă;3;2;Nemobilat;Vânzare;320.000 €
Cabana cu 4 dormitoare$ foisor$ ciubar$ Statiunea Muntele Ba;Cluj / Muntele Baisorii;350 m²;160 m²;Bună;5;2;Complet;Vânzare;125.000 €
Casa de vacanta$ 3 camere$ teren 838 mp$ 110 mp$ Marisel;Cluj / Marisel;838 m²;110 m²;Bună;3;1;Complet;Vânzare;95.000 €
Case individuale de vanzare$ 150 mp$ teren 334 mp$ Valea Chi;Cluj / Cluj-Napoca;334 m²;150 m²;Nouă;3;2;Nemobilat;Vânzare;299.990 €
Oferta! Casa semifinisata$ 140 mp utili$ 750 mp teren$ Salic;Cluj / Salicea;750 m²;140 m²;Nouă;4;3;Nemobilat;Vânzare;235.000 €
Casă / Vilă cu 6 camere de vânzare în zona Ultracentral;Dolj / Bailesti;1043 m²;115 m²;Bună;5+;2;Complet;Vânzare;108.000 €
Casa de 2 camere$ 55 mp utili$ teren 80 mp$ mobilata/utilata;Cluj / Cluj-Napoca;80 m²;55 m²;Bună;2;1;Complet;Vânzare;295.000 €
Apartament cu 8 camere$ 315 mp$ pentru clinica$ birou sau lo;Cluj / Cluj-Napoca;50 m²;315 m²;Bună;5+;4;Parțial;Vânzare;515.000 €
Casa tip duplex$ 170 mp utili$ 200 mp teren$ Parcul Armatura;Cluj / Cluj-Napoca;200 m²;170 m²;Nouă;4;3;Nemobilat;Vânzare;330.000 €
Casa cu 4 camere Finalizata Mutare Imediata Hlincea Aproape;Iasi / Hlincea;300 m²;117 m²;Bună;4;2;Nemobilat;Vânzare;150.000 €
Casă / Vilă cu 4 camere de vânzare;Dolj / Preajba;1065 m²;215 m²;Bună;4;3+;Complet;Vânzare;299.000 €
Proprietate rezidențială de vanzare Strada 9 Mai;Maramures / Baia Mare;322 m²;300 m²;Bună;5+;3;Complet;Vânzare;315.000 €
Casa de vanzare$ cu 5 camere$ 120 mp utili$ teren 240 mp$ zo;Cluj / Cluj-Napoca;240 m²;120 m²;Bună;5;4;Complet;Vânzare;429.000 €
Casa pe un nivel 105 mp cu pod inalt mansardabil de 70mp$ te;Cluj / Chinteni;500 m²;105 m²;Nouă;4;2;Nemobilat;Vânzare;225.000 €
Proprietate de exceptie Ultracentral- str.Stefan cel Mare;Neamt / Piatra Neamt;124 m²;103 m²;Renovată;3;0;;Vânzare;170.000 €
Casa 277 mp utili$ 1140 mp teren$ Tutora;Iasi / Iasi;1140 m²;271 m²;Nouă;5;1;Nemobilat;Vânzare;95.000 €
;;0;0;;;0;;;0
Casa Timpuri Noi reabilitata;Bucuresti-Ilfov / Bucuresti;150 m²;73 m²;Bună;3;1;Nemobilat;Vânzare;174.000 €
Vila individuala de lux$ finisaje premium cu 4 camere$ toate;Bucuresti-Ilfov / Bragadiru;240 m²;130 m²;Bună;4;3;;Vânzare;279.500 €
Duplex semifinisat cu teren si garaj$ intr-o zona linistita;Cluj / Chinteni;300 m²;154 m²;Nouă;4;1;Nemobilat;Vânzare;219.000 €
Casă superbă cu 3 camere și curte lângă școala Petru R;Bucuresti-Ilfov / Chiajna;35 m²;91 m²;Bună;3;2;Parțial;Vânzare;143.000 €
6 Case individuale la vanzare$ 4 camere$ in zona bd 1Dece...;Bucuresti-Ilfov / Bucuresti;260 m²;190 m²;Nouă;4;3;;Vânzare;325.000 €
Casă solidă din cărămidă cu teren generos –Gura Ocnit;Dambovita / Targoviste;1108 m²;90 m²;Bună;4;1;Parțial;Vânzare;38.000 €
Casa S+P+1 252mp utili$ 585 mp teren$ zona Lăpuș;Dolj / Craiova;585 m²;252 m²;Bună;4;2;Complet;Vânzare;600.000 €
Casă spațioasă cu terasă și loc de parcare – Milit...;Bucuresti-Ilfov / Bucuresti;625 m²;180 m²;Nouă;4;3+;Nemobilat;Vânzare;300.000 €
Casă singur în curte – Mureș – Câmpu Cetății;Mures / Campu Cetatii;800 m²;100 m²;Bună;4;2;;Vânzare;130.000 €
Casa parter+etaj Soseaua Giurgiului- Ferentari.;Bucuresti-Ilfov / Bucuresti;324 m²;103 m²;Bună;3;1;;Vânzare;140.000 €
;;0;0;;;0;;;0
Casa 5 camere$ Sacele $ panouri solare 6kw$ terasa $ 835 mp;Brasov / Sacele;835 m²;115 m²;Bună;5;2;Parțial;Vânzare;220.000 €
Casa moderna pe parter – Balotesti$ Unirii;Bucuresti-Ilfov / Balotesti;670 m²;170 m²;Bună;4;2;;Vânzare;200.000 €
Vila noua$ Stefanesti - Tudosesti;Arges / Stefanesti;500 m²;160 m²;Bună;5;3;;Vânzare;155.000 €
Casa individuala$ modernă$ 160 mp utili$ 600 mp teren$ zona;Suceava / Suceava;600 m²;160 m²;Bună;5;2;Complet;Vânzare;266.000 €
Comision 0% I Casa superbă la munte I Platou Izvor I Sinaia;Prahova / Sinaia;286 m²;159 m²;Bună;5+;3;Complet;Vânzare;285.000 €
Casă 74 mp/ Predesti 1331 mp teren intravilan;Dolj / Predesti;1331 m²;55 m²;Bună;2;1;Complet;Vânzare;60.000 €
COMISION 0! Duplex 4 camere$ 120mp$ 200 teren$ proiect final;Cluj / Floresti;120 m²;119 m²;Nouă;4;4;Nemobilat;Vânzare;155.000 €
COMISION 0! Duplex 4 camere$ 120mp$ 200 teren$ proiect final;Cluj / Floresti;120 m²;119 m²;Nouă;4;4;Nemobilat;Vânzare;164.000 €
Vila moderna de vanzare in Sancrai Cartierul Rasaritului;Mures / Sancraiu De Mures;513 m²;230 m²;Bună;4;2;Parțial;Vânzare;219.900 €
Casa de 4 camere$ plan parter$ 450 mp teren$ Holboca;Iasi / Holboca;450 m²;90 m²;În construcție;4;1;Nemobilat;Vânzare;145.000 €
Casa de vacanta tip A- frame -Tohanita$ zona superba se vind;Brasov / Tohanu Nou;400 m²;100 m²;În construcție;4;1;Nemobilat;Vânzare;139.900 €
Casa cu teren generos in Andrei Muresanu;Cluj / Cluj-Napoca;530 m²;176 m²;Bună;5;2;Parțial;Vânzare;570.000 €
Casa de 2 camere curte proprie zona Gutenberg;Bihor / Oradea;249 m²;54 m²;Bună;1;1;Nemobilat;Vânzare;67.000 €
Vila rezidentiala pe Lac$ 623 mp$ teren 1360 mp$ cartier Nou;Brasov / Brasov;1360 m²;623 m²;Bună;5+;10;Complet;Vânzare;649.000 €
Casă / Vilă cu 3 camere de vânzare în zona Iris;Cluj / Cluj-Napoca;745 m²;115 m²;De renovat;3;1;Nemobilat;Vânzare;243.000 €
Casă P+E$ 400 mp teren$ zona Garlești;Dolj / Craiova;400 m²;137 m²;Bună;3;3;Nemobilat;Vânzare;285.000 €
Casa individuala$ Zona Gilau;Cluj / Gilau;730 m²;140 m²;Nouă;4;2;Complet;Vânzare;255.000 €
;;0;0;;;0;;;0
Casa spatioasa pretabila pentru sediu firma$ in Brasov;Brasov / Brasov;1420 m²;300 m²;Bună;4;1;Complet;Vânzare;560.000 €
